,Expected Temperature,Predicted Temperature
0,5,5
1,0,0
2,4,4
3,3,3
4,3,3
5,1,1
6,4,4
7,0,0
8,6,6
9,3,3
10,3,3
11,6,6
12,6,6
13,0,0
14,6,6
15,1,1
16,0,0
17,8,8
18,5,5
19,5,5
20,9,9
21,6,6
22,9,9
23,8,8
24,2,2
25,1,1
26,4,4
27,7,7
28,1,1
29,9,9
30,1,1
31,0,0
32,6,6
33,9,9
34,8,8
35,6,6
36,6,6
37,2,2
38,3,3
39,9,9
40,1,1
41,5,5
42,5,5
43,3,3
44,2,2
45,5,5
46,1,1
47,1,1
48,2,2
49,2,2
50,6,6
51,2,2
52,0,0
53,6,6
54,2,2
55,5,5
56,7,7
57,6,6
58,2,2
59,9,9
60,2,2
61,2,2
62,4,4
63,7,7
64,0,0
65,2,2
66,9,9
67,0,0
68,5,5
69,9,9
70,0,0
71,0,0
72,7,7
73,1,1
74,2,2
75,8,8
76,0,0
77,6,6
78,6,6
79,2,2
80,9,9
81,3,3
82,6,6
83,8,8
84,7,7
85,1,1
86,4,4
87,9,9
88,4,4
89,0,0
90,2,2
91,2,2
92,6,6
93,9,9
94,0,0
95,1,1
96,6,6
97,8,8
98,7,7
99,6,6
100,8,8
101,8,8
102,1,1
103,8,8
104,2,2
105,6,6
106,6,6
107,7,7
108,5,5
109,2,2
110,7,7
111,3,3
112,2,2
113,7,7
114,8,8
115,1,1
116,4,4
117,0,0
118,4,4
119,6,6
120,2,2
121,9,9
122,5,5
123,8,8
124,4,4
125,2,2
126,6,6
127,9,9
128,5,5
129,9,9
130,5,5
131,9,9
132,9,9
133,4,4
134,9,9
135,5,5
136,1,1
137,9,9
138,5,5
139,3,3
140,8,8
141,1,1
142,1,1
143,9,9
144,0,0
145,0,0
146,8,8
147,7,7
148,9,9
149,0,0
150,2,2
151,9,9
152,8,8
153,8,8
154,9,9
155,0,0
156,3,3
157,2,2
158,6,6
159,8,8
160,2,2
161,8,8
162,1,1
163,9,9
164,2,2
165,4,4
166,2,2
167,0,0
168,2,2
169,5,5
170,0,0
171,8,8
172,7,7
173,0,0
174,7,7
175,5,5
176,0,0
177,1,1
178,9,9
179,4,4
180,7,7
181,7,7
182,2,2
183,6,6
184,2,2
185,8,8
186,8,8
187,7,7
188,1,1
189,0,0
190,9,9
191,8,8
192,7,7
193,6,6
194,0,0
195,8,8
196,3,3
197,2,2
198,2,2
199,8,8
200,5,5
201,5,5
202,1,1
203,9,9
204,2,2
205,1,1
206,9,9
207,6,6
208,8,8
209,9,9
210,7,7
211,1,1
212,7,7
213,8,8
214,6,6
215,6,6
216,1,1
217,4,4
218,2,2
219,8,8
220,4,4
221,4,4
222,9,9
223,2,2
224,2,2
225,6,6
226,0,0
227,7,7
228,8,8
229,6,6
230,1,1
231,0,0
232,8,8
233,5,5
234,9,9
235,4,4
236,3,3
237,1,1
238,5,5
239,4,4
240,1,7
241,8,8
242,1,1
243,3,3
244,5,5
245,5,5
246,9,9
247,8,8
248,4,4
249,6,6
250,4,4
251,5,5
252,7,7
253,8,8
254,7,7
255,4,4
256,8,8
257,8,8
258,5,5
259,3,3
260,7,7
261,6,6
262,1,1
263,0,0
264,1,1
265,5,5
266,5,5
267,8,8
268,0,0
269,8,8
270,5,5
271,7,7
272,7,7
273,8,8
274,4,4
275,1,1
276,4,4
277,2,2
278,4,4
279,8,8
280,1,1
281,1,1
282,0,0
283,3,3
284,9,9
285,0,0
286,3,3
287,7,7
288,2,2
289,8,8
290,3,3
291,6,6
292,0,0
293,2,2
294,6,6
295,8,8
296,0,0
297,5,5
298,6,6
299,9,9
300,8,8
301,4,4
302,3,3
303,7,7
304,8,8
305,8,8
306,0,0
307,1,1
308,6,6
309,9,9
310,6,6
311,2,2
312,7,7
313,2,2
314,2,2
315,7,7
316,8,8
317,3,3
318,4,4
319,5,5
320,4,4
321,4,4
322,9,9
323,7,7
324,4,4
325,7,7
326,6,6
327,8,8
328,8,8
329,3,3
330,3,3
331,0,0
332,1,1
333,8,8
334,8,8
335,7,7
336,7,7
337,5,5
338,4,4
339,2,2
340,8,8
341,1,1
342,7,7
343,6,6
344,3,3
345,3,3
346,3,3
347,6,6
348,9,9
349,8,8
350,0,0
351,9,9
352,8,8
353,7,7
354,0,0
355,7,7
356,6,6
357,2,2
358,9,9
359,6,6
360,3,3
361,9,9
362,0,0
363,5,5
364,0,0
365,7,7
366,6,6
367,7,7
368,4,4
369,3,3
370,5,5
371,2,2
372,5,5
373,7,7
374,1,1
375,0,0
376,0,0
377,5,5
378,3,3
379,5,5
380,8,8
381,8,8
382,7,7
383,3,3
384,5,5
385,9,9
386,1,1
387,7,7
388,5,5
389,7,7
390,8,8
391,5,5
392,0,0
393,6,6
394,4,4
395,5,5
396,2,2
397,7,7
398,5,5
399,8,8
400,1,1
401,5,5
402,8,8
403,1,1
404,2,2
405,3,3
406,6,6
407,6,6
408,1,1
409,2,2
410,5,5
411,3,3
412,9,9
413,8,8
414,0,0
415,8,8
416,9,9
417,0,0
418,2,2
419,2,2
420,3,3
421,0,0
422,5,5
423,0,0
424,1,1
425,6,6
426,5,5
427,4,4
428,6,6
429,6,6
430,6,6
431,1,1
432,8,8
433,7,7
434,1,1
435,7,7
436,8,8
437,1,1
438,0,0
439,1,1
440,9,9
441,3,3
442,2,2
443,4,4
444,2,2
445,4,4
446,3,3
447,3,3
448,5,5
449,6,6
450,5,5
451,8,8
452,6,6
453,2,2
454,8,8
455,4,4
456,6,6
457,9,9
458,5,5
459,1,1
460,0,0
461,9,9
462,9,9
463,5,5
464,6,6
465,4,4
466,7,7
467,5,5
468,9,9
469,9,9
470,4,4
471,8,8
472,2,2
473,5,5
474,6,6
475,5,5
476,5,5
477,0,0
478,5,5
479,9,9
480,7,7
481,0,0
482,4,4
483,8,8
484,5,5
485,8,8
